"id";"cesky";"anglicky";"nemecky";"kategorie"
1024;lilek, lilku;a eggplant;die Aubergine;Podstatné jméno
1025;také;also;auch;Spojka
1026;na;on;auf;Předložka
1027;na mobilu;on the mobile;am Handy;Fráze
1028;na venkově;in the countryside;auf dem Land;Fráze
1029;na trh;to the market;auf den Markt;Předložka
1030;na tebe;on you;auf dich;Předložka
1031;na záchod;toilet;auf die Toilette;Fráze
1032;najednou;suddenly;auf einmal;Příslovce
1033;rozhodně;definitely;entscheidend;Příslovce
1034;v žádném případě;in no case;in keinem Fall;Fráze
1035;na slyšenou;on the sly;auf Geheiß;Fráze
1036;na shledanou;goodbye;Auf Wiedersehen;Fráze
1037;sestavují, založil, navazovat, budovali, založíte, postavím, skládal, skládám, navazuješ, rozestavuje, rozdělávat, nainstalovali, postavit, sestavuje, vybudovat, stavte, sestaven, buduje;to build;bauen [gebaut (ist), baute];Sloveso
1038;zůstat vzhůru;to stay up;bleiben;Sloveso
1039;odcestovala, odcestuje, odcestujme, vyrazím;to depart;abreisen [abgereist, reiste ab, wird abreisen];Sloveso
1040;odhalili, odhaluje, odhalit, odhaleno, objevujete, odhalil;to reveal [revealed, revealed];entdecken [entdeckt, entdeckte];Sloveso
1041;výrazný;pronounced;ausdrucksstark;Přídavné jméno
1042;řadu, úkol, úlohu, povinností, úloha, úkolu, úkolem;a task;die Aufgabe;Podstatné jméno
1043;úkol;a task;die Aufgabe;Podstatné jméno
1044;vzdát;to give up;aufgeben [aufgegeben (hat/ist), gab auf, wird aufgegeben];Sloveso
1045;vzdal, nevzdal;although/though;obwohl/wenn;Spojka
1046;vzrušení, vzrušená, vzrušený;excited;erregt;Přídavné jméno
1047;přístupný, otevřený, přátelský, smýšlející, komunikativní, tolerantní, vstřícný, liberální;accessible;zugänglich;Přídavné jméno
1048;zapsali, nezapsali, zapsán, zapsal, nezapsal, zapsáno;to record [recorded, recorded];aufnehmen [aufgenommen (hat/ist), nahm auf];Sloveso
1049;Vstali, vstala, vstál, vstal(a), Vstal(a), vstal, vstaly;to stand [stood, stood];stehen [gestanden (ist), stand];Sloveso
1050;vzdáváš, vzdáš, nevzdáš;to give up;aufgeben [aufgegeben (hat), gab auf];Sloveso
1051;kvůli, vzhledem k, na základě, z důvodu, základě;because of;wegen;Předložka
1052;rozveselit;to cheer up;aufheitern [aufgeheitert, erhellte];Sloveso
1053;dohnat, dohnout, dohánět, dojíždět, dojet;to catch up;aufholen [aufgeholt, holte auf];Sloveso
1054;přejde, ukončila, přestaňte, skončit, zastav, přestat, opusť, pominuly;to stop;aufhören [aufgehört (ist), hörte auf];Sloveso
1055;vyjasníme, vysvětlujeme, vyjasněte, nevysvětlil, vyřešil, objasnila, vysvětleny, vysvětlena, vysvětleno, vyjasnila, vyjasnit, vyjasnil, vyjasňujeme, objasní;to clarify/explain [clarified/explained];erklären [erklärt, erklärte];Sloveso
1056;nálepku, nálepky, etiketě, nálepka, nálepkami;a sticker;die Aufkleber;Podstatné jméno
1057;nabít, nabíjím;to charge;aufladen [aufgeladen];Sloveso
1058;Seznam;a list;die Liste;Podstatné jméno
1059;rozdělal, rozbaluji, rozbaluje, otevřít, otevřou, neotevřeš;to open [opened, opened];öffnen [geöffnet (hat/ist), öffnete];Sloveso
1060;Pozornost, pozornost, pozornosti, zájmem;attention;die Aufmerksamkeit;Podstatné jméno
1061;povzbudil, potěšit, povzbuzovalo, dodat odvahu, povzbudit, rozveselit, rozvesel, povzbuzujeme;to encourage;ermutigen  [ermutigt hat, ermutigte, wird ermutigen];Sloveso
1062;přijali, sbíral, zahájí, vyfotil, přijímám, natáčíme, přijmeš, zachytila, přijímáme, přijal, navazovat, natáčí, natáčejí, zařazují, nahrávali, navázal, zařadil, nahrávají, zachytil, přijměte, přijmi, nahrává, natočil, integruje, filmováni, pojal, přijímáte, natáčím, přijati, vyfotila, pojmout, natočit, vyfotit, přijímají, zachytit, přijmu, integrovat, zařaďte, přijmou;"";"Sloveso|to accept [accepted, accepted]|nehmen [genommen (hat/ist), nahm] ;""
Sloveso|to collect |sammeln [gesammelt (hat/ist), sammelte]
Sloveso|to begin |beginnen [begonnen (hat/ist), begann]
Sloveso|to photograph |fotografieren [fotografiert (hat/ist), fotografierte]
Sloveso|to accept |nehmen [genommen (hat/ist), nahm]
Sloveso|to film |filmen [gefilmt (hat/ist), filmte]
Sloveso|will you accept |nimmst [nimmt (wird)]
Sloveso|to capture |fassen [gefasst (hat/ist), fasste]
Sloveso|to accept |nehmen [genommen (hat/ist), nahm]
Sloveso|to establish |aufbauen [aufgebaut (hat/ist), baute auf]
Sloveso|to film |filmen [gefilmt (hat/ist), filmte]
Sloveso|to film |filmen [gefilmt (hat/ist), filmten]
Sloveso|to categorize |einordnen [eingeordnet (hat/ist), ordnete ein]
Sloveso|to record |aufnehmen [aufgenommen (hat/ist), nahm auf]
Sloveso|to establish |aufbauen [aufgebaut (hat/ist), baute auf]
Sloveso|to categorize |einordnen [eingeordnet (hat/ist), ordnete ein]
Sloveso|to record |aufnehmen [aufgenommen (hat/ist), nahmen auf]
Sloveso|to capture |fassen [gefasst (hat/ist), fasste]
Sloveso|will you accept |nimmst [nimmt (wird)]
Sloveso|to record |aufnehmen [aufgenommen (hat/ist), nahm auf]
Sloveso|to film |filmen [gefilmt (hat/ist), filmte]
Sloveso|to integrate |integrieren [integriert (hat/ist), integrierte]
Sloveso|to film |filmen [gefilmt (hat/ist), wurde gefilmt, wird gefilmt]
Sloveso|to capture |fassen [gefasst (hat/ist), fasste, wird festgehalten]
Sloveso|will you accept |nimmst [nimmt (wird)]
Sloveso|to record |aufnehmen [aufgenommen (hat/ist), nahm auf, wurde aufgenommen]
Sloveso|to photograph |fotografieren [fotografiert (hat/ist), fotografierte, wird fotografiert]
Sloveso|to understand |verstehen [verstanden (hat/ist), verstand, wird verstanden]
Sloveso|to record |aufnehmen [aufgenommen (hat/ist), nahm auf, wurde aufgenommen]
Sloveso|to photograph |fotografieren [fotografiert (hat/ist), fotografierte, wird fotografiert]
Sloveso|to accept |nehmen [genommen (hat/ist), nahm, wird genommen]
Sloveso|to capture |fassen [gefasst (hat/ist), fasste, wird festgehalten]
Sloveso|to integrate |integrieren [integriert (hat/ist), integrierte, wird integriert]
Sloveso|to categorize |einordnen [eingeordnet (hat/ist), ordnete ein, wird eingeordnet]
Sloveso|to accept |nehmen [genommen (hat/ist), werden genommen]"
1063;uklidit;to tidy up;aufräumen [aufgeräumt (ist), räumte];Sloveso
1064;nedráždi, rozčilujeme;don't provoke us;lass uns nicht ärgern;Fráze
1065;odkládám, odkládáš, odkládej;to put away [put away, put away];ablegen [abgelegt (hat/ist), legte];Sloveso
1066;přirážka, příplatek;a surcharge;die Aufpreis;Podstatné jméno
1067;vypsat, zapisovat, zapisuj, napsat, zapsala;to write [wrote, written];schreiben [geschrieben (ist), schrieb];Sloveso
1068;vstát;to stand [stood, stood];stehen [gestanden (ist), stand];Sloveso
1069;postaven, postavily, postaveno, postavím, postavena, rozestavuje, postaveny;to build [built, built];bauen [gebaut (ist), baute];Sloveso
1070;rozmrznout, odmrazit, rozmrazovat, roztát, rozmrazit, rozmraz;to thaw;auftauen [aufgetaut (ist), taute auf];Sloveso
1071;rozdělte, poděla, rozděleny, krájí, rozdělíme, rozdělit, rozděl, rozdělí;to divide [divided, divided];teilen [geteilt (ist), teilte];Sloveso
1072;misi, úkolem, zakázku, zakázek, objednávek;a task;die Aufgabe;Podstatné jméno
1073;vyskytnou, vystupuješ, objevily, vystupuje, stávaly, vyskytuje, objevují, vyskytují, nastane;to appear;erscheinen [erschien, ist erschienen];Sloveso
1074;Vystoupení, vystup, vystoupení, výkonem, vystupování;a performance;das Auftritt;Podstatné jméno
1075;probudit, vstávat;to wake up;erwachen [erwachte, wird erwachen];Sloveso
1076;vyrůstat, vyrůst;to grow;wachsen  [gewachsen, wuchs];Sloveso
1077;výdajů, pracnost, výdaj, námaha, úsilí, náklad, úsilím;expenses;die Ausgaben;Podstatné jméno
1078;ohříval, ohříváte, rozehřej, ohřeji, zahřát, rozcvičuješ, ohříváš, ohřívá, ohřát, rozehřejte, ohřejeme, rozjedou, ohřál, ohříváme, rozehřívám, rozehřát, rozcvičit, rozehříváme, zahřej, ohřej;to heat;erhitzen [erhitzt, erhitzte];Sloveso
1079;nahrávají, natočil, natáčím, natočit, nahrávali;to record [recorded, recorded];aufnehmen [aufgenommen (ist), nahm auf];Sloveso
1080;výtahu, výtah, výtahem;an elevator;der Aufzug;Podstatné jméno
1081;vzdát se;to give up;aufgeben [aufgegeben (hat/ist), gab auf, wird aufgegeben];Sloveso
1082;oči;eyes;die Augen;Podstatné jméno
1083;okamžiku, vteřina, okamžikem;a moment;der Augenblick;Podstatné jméno
1084;oční kontakt;eye contact;Augenkontakt;Podstatné jméno
1085;očitý svědek, svědek na místě činu, svědek, přímý svědek, očitý;a witness;der Zeuge;Podstatné jméno
1086;z, ze;from;aus;Předložka
1087;ze dřeva;wooden;holzig;Přídavné jméno
1088;ze dřeva;wooden;holzig;Přídavné jméno
1089;z kůže;of skin;aus der Haut;Přídavné jméno
1090;z kůže;skin;die Haut;Podstatné jméno
1091;zbloudit;to stray;verirren [verirrte, verirrt];Sloveso
1092;vydechuješ, vydechuj, vydechnu, vydechnout;to breathe out [breathed out, breathed out];ausatmen [ausgeatmet, atmete aus];Sloveso
1093;vydechnout, vydechnu, sfouknout;to breathe out [breathed out, breathed out];ausatmen [ausgeatmet, atmete aus, wird ausgeatmet];Sloveso
1094;výhledem, vyhlídka, výhled, vyhlídku;a view;die Aussicht;Podstatné jméno
1095;odhlásit;to log out;abmelden [abgemeldet (ist), meldete ab, wird abgemeldet];Sloveso
1096;vytrvalým, houževnatý, vytrvale, vytrvalé, vytrvalém;persistent;ausdauernd;Přídavné jméno
1097;slově, vyjadřování, rčení, výraz, výrazu, slovech, vyjádření;an expression;der Ausdruck;Podstatné jméno
1098;projevil, vyjádřit, vyjadřují, projevoval, formuluji, projevuji, projevují, formulovat, najevo, vyjadřovat, uvedl;to express;ausdrücken [ausgedrückt, drückte];Sloveso
1099;vytisknout;to print [printed, printed];ausdrucken [gedruckt (ist), druckte];Sloveso
1100;výslovně;explicitly;ausdrücklich;Příslovce
1101;venku;outside;draußen;Příslovce
1102;zahraniční politika;foreign policy;die Außenpolitik;Podstatné jméno
1103;venkovní terasa, zahradní terasa, zahrádka;a patio;die Terrasse;Podstatné jméno
1104;kromě toho;besides;außerdem;Spojka
1105;neobyčejně, výjimečnou, výjimečná, výjimečné, výjimečnými, mimořádnou, výjimečnějším, výjimečně, jedinečně, výjimečný, mimořádné;exceptional;außergewöhnlich;Přídavné jméno
1106;mimo, vně;outside;außerhalb;Příslovce
1107;vyslovil, pronášet, projevil, projevujeme, vyjádřit, projevuji, pronést, vyslov, projevují, říci, řekne, vyjadřují;to express;ausdrücken [ausgedrückt, drückte aus];Sloveso
1108;velmi;very;sehr;Příslovce
1109;selhat, selže, vypadly, odpadnout, odpadne, selhalo;to fail;versagen [versagt, versagte];Sloveso
1110;výletu, túrou, výletě, výlet, túrách;a trip;die Tour;Podstatné jméno
1111;výletů, výlety, výletech;trips;die Ausflüge;Podstatné jméno
1112;dokončili, provedu, spustit, uskutečnit, venčí, vyvezl, splněny, vypracuj, uskutečnil, uskutečnila, vyslov, dokončíš, podnikni, spustí, vynes, učiň;"";"Sloveso|to complete [completed, completed]|beenden [beendet (ist), beendete] ;""
Sloveso|to conduct |führen [geführt (ist), führte]
Sloveso|to start |starten [gestartet (ist), startete]
Sloveso|to implement |realisieren [realisiert (ist), realisierte]
Sloveso|to walk |führen [geführt (ist), führte]
Sloveso|to transport |abfahren [abgefahren (ist), fuhr ab]
Sloveso|fulfilled |erfüllt sein [erfüllt gewesen sein, erfüllte]
Sloveso|to create |erstellen [gestellt (ist), stellte]
Sloveso|to implement |realisieren [realisiert (ist), realisierte]
Sloveso|to implement |realisieren [realisiert (ist), realisierte]
Sloveso|to pronounce |aussprechen [ausgesprochen (ist), sprach aus]
Sloveso|to complete |beenden [beendet (ist), beendete]
Sloveso|to undertake |unternehmen [unternommen (ist), unternahm]
Sloveso|to start |starten [gestartet (ist), startete]
Sloveso|to transport |abfahren [abgefahren (ist), fuhr ab]
Sloveso|to make |anfertigen [fertig gemacht (ist), fertig machte]"
1113;detailní, obsáhlý, podrobně, rozsáhlý, podrobný, podrobná, důkladný, podrobněji;detailed;detailliert;Přídavné jméno
1114;ročníku, rozdělení, výdajům, výstup, vydání, náklad, výdej, výdajů;"";"Podstatné jméno|a yearbook|der Jahrgang ;""
Podstatné jméno|allocation|die Aufteilung
Podstatné jméno|expenses|die Ausgaben
Podstatné jméno|output|der Ausgang
Podstatné jméno|edition|die Ausgabe
Podstatné jméno|print run|der Druckauflagen
Podstatné jméno|disbursement|der Ausgab
Podstatné jméno|expenses|die Ausgaben"
1115;výdaj, vydání, náklad, výdajů;a release;die Ausgabe;Podstatné jméno
1116;dopadlo, výstup, východ, vystup;an outcome;das Ergebnis;Podstatné jméno
1117;východ;the east;der Osten;Podstatné jméno
1118;vydala, utratila, utratili, neutratili, vydá;to give out;geben [gegeben (hat/ist), gab];Sloveso
1119;vyprodáno, plně obsazeno, zarezervováno, rezervováno;sold out;ausverkauft;Fráze
1120;zhaslo, zhasle, zhasl, došel;to go out;ausgehen [ausgegangen (ist), ging aus];Sloveso
1121;vydal, utratil, nevydal, neutratil, vydali;to issue [issued, issued];ausgeben [ ausgegeben ];Sloveso
1122;rozjařený, bujaré, bujarý, vynechal, bujará, rozjařeně;bright;hell;Přídavné jméno
1123;odpočinuli, odpočívali, odpočíval, odpočatý;to rest [rested, rested];ruhen [geruht, ruhte, wird geruht];Sloveso
1124;vyspávali, vyspalý;well-rested;ausgeschlafen;Přídavné jméno
1125;vypadaly, vypadali, vypadal, vypadalo;to look;aussehen [ausgesehen (ist), sah aus];Sloveso
1126;vyváženě, objektivní, vyvážený, vyrovnaný, vyvážené, nestranný, vyvážená, vyváženou, vyrovnaná;balanced;ausgewogen;Přídavné jméno
1127;odstěhovali, odstěhoval;to move out [moved out, moved out];umziehen [umgezogen, zog um];Sloveso
1128;vyrovnáváš, srovnávají, kompenzovat, srovnej, srovnáváme, neutratili, vypořádat;to compensate;ausgleichen [ausgeglichen, ausglich];Sloveso
1129;sjednat, vyjednat, vyjednávat, dohodnout, vyjednal;to negotiate;verhandeln [verhandelt, verhandelt];Sloveso
1130;vycházet, vycházíme, vycházejí, obejít, snášíme, nevyjdou, nevycházejí, vycházíte;to go out [went out, gone out];ausgehen [gegangen, ging, wird ausgehen];Sloveso
1131;informace;information;die Information;Podstatné jméno
1132;zahraničí;foreign countries;das Ausland;Podstatné jméno
1133;cizincem, cizinců, cizincům;a foreigner;der Ausländer;Podstatné jméno
1134;zahraniční rok;a foreign year;das Auslandsjahr;Podstatné jméno
1135;studium;a study;das Studium;Podstatné jméno
1136;vynechala, vynechávat;to omit [omitted, omitted];auslassen [ausgelassen, ausließ, wird ausgelassen];Sloveso
1137;vyvolávají, spustit, vyvolávat, vyvolat, vyvolal, vzbuzuje, způsobit, spustím, vzbudit, způsobovat, vzbudila, spustí;to trigger/start;auslösen [ausgelöst, löste aus, wird ausgelöst];Sloveso
1138;spouštěčů, spouštěč, spoušť, spouštěčem, podnět, faktor, příčina, spouštěče;a trigger;die Auslöser;Podstatné jméno
1139;vypnout;to switch off;ausschalten [ausgeschaltet (ist), schaltete aus, wird ausgeschaltet];Sloveso
1140;vyčistit, vyklidit, uklidit, vyházat, vyprázdnit;to clean;reinigen [gereinigt, reinigte, wird gereinigt];Sloveso
1141;výjimky, výjimku;an exception;die Ausnahme;Podstatné jméno
1142;výjimečně;exceptionally;außergewöhnlich;Příslovce
1143;vykládám, vybalili, rozbaluji, vyložil, rozbalil, vybal, vybalit, vybalíš, nevybaluj, vybaluje, rozbaluje;to unpack [unpacked, unpacked];auspacken [ausgepackt (ist), packte];Sloveso
1144;pokusit, zkusil, vyzkoušet, zkuste, testují;to try [tried, tried];probieren [probiert, probierte];Sloveso
1145;vyčistili, vyklidit, vyklidili;to clear out;aufräumen [aufgeräumt (ist), räumte auf];Sloveso
1146;stačit, postačují;to suffice;reichen  [gereicht (hat/ist), reichte, wird reichen];Sloveso
1147;dostatečný;sufficient;ausreichend;Přídavné jméno
1148;zaměřujeme, uspořádají, zaměřují, pořádáte, orientují, orientovat, vyřídím;to orientate;orientieren [orientiert (ist), orientierte];Sloveso
1149;vyhlášena;declared;dekliniert;Přídavné jméno
